# GNU Binutils 2.46; RV32/RV64 IMAFDC + Zicsr + Zifencei + Svinval; relaxation disabled.
# mnemonic	XLEN	word(hex)	operands in catalog order	assembly
c.jal	32	3001	-2048	c.jal .-2048
c.jal	32	3ffd	-2	c.jal .-2
c.jal	32	2001	0	c.jal .+0
c.jal	32	2009	2	c.jal .+2
c.jal	32	2011	4	c.jal .+4
c.jal	32	2101	1024	c.jal .+1024
c.jal	32	2ffd	2046	c.jal .+2046
c.jal	32	3101	-1024	c.jal .-1024
lui	64	80000037	0,-524288	lui x0, 524288
lui	64	ffffffb7	31,-1	lui x31, 1048575
lui	64	000000b7	1,0	lui x1, 0
lui	64	00001437	8,1	lui x8, 1
lui	64	7ffff7b7	15,524287	lui x15, 524287
lui	64	fffff837	16,1048575	lui x16, 1048575
lui	64	12345bb7	23,74565	lui x23, 74565
lui	64	008003b7	7,2048	lui x7, 2048
auipc	64	80000017	0,-524288	auipc x0, 524288
auipc	64	ffffff97	31,-1	auipc x31, 1048575
auipc	64	00000097	1,0	auipc x1, 0
auipc	64	00001417	8,1	auipc x8, 1
auipc	64	7ffff797	15,524287	auipc x15, 524287
auipc	64	fffff817	16,1048575	auipc x16, 1048575
auipc	64	12345b97	23,74565	auipc x23, 74565
auipc	64	00800397	7,2048	auipc x7, 2048
jal	64	8000006f	0,-1048576	jal x0, .-1048576
jal	64	ffffffef	31,-2	jal x31, .-2
jal	64	000000ef	1,0	jal x1, .+0
jal	64	0020046f	8,2	jal x8, .+2
jal	64	004007ef	15,4	jal x15, .+4
jal	64	0010086f	16,2048	jal x16, .+2048
jal	64	7ffffbef	23,1048574	jal x23, .+1048574
jal	64	000013ef	7,4096	jal x7, .+4096
jalr	64	800f8067	0,31,-2048	jalr x0, x31, -2048
jalr	64	fff08fe7	31,1,-1	jalr x31, x1, -1
jalr	64	000400e7	1,8,0	jalr x1, x8, 0
jalr	64	00178467	8,15,1	jalr x8, x15, 1
jalr	64	01f807e7	15,16,31	jalr x15, x16, 31
jalr	64	7ffb8867	16,23,2047	jalr x16, x23, 2047
jalr	64	ff038be7	23,7,-16	jalr x23, x7, -16
jalr	64	400003e7	7,0,1024	jalr x7, x0, 1024
beq	64	801f8063	31,1,-4096	beq x31, x1, .-4096
beq	64	fe808fe3	1,8,-2	beq x1, x8, .-2
beq	64	00f40063	8,15,0	beq x8, x15, .+0
beq	64	01078163	15,16,2	beq x15, x16, .+2
beq	64	01780263	16,23,4	beq x16, x23, .+4
beq	64	007b80e3	23,7,2048	beq x23, x7, .+2048
beq	64	7e038fe3	7,0,4094	beq x7, x0, .+4094
beq	64	81f000e3	0,31,-2048	beq x0, x31, .-2048
bne	64	801f9063	31,1,-4096	bne x31, x1, .-4096
bne	64	fe809fe3	1,8,-2	bne x1, x8, .-2
bne	64	00f41063	8,15,0	bne x8, x15, .+0
bne	64	01079163	15,16,2	bne x15, x16, .+2
bne	64	01781263	16,23,4	bne x16, x23, .+4
bne	64	007b90e3	23,7,2048	bne x23, x7, .+2048
bne	64	7e039fe3	7,0,4094	bne x7, x0, .+4094
bne	64	81f010e3	0,31,-2048	bne x0, x31, .-2048
blt	64	801fc063	31,1,-4096	blt x31, x1, .-4096
blt	64	fe80cfe3	1,8,-2	blt x1, x8, .-2
blt	64	00f44063	8,15,0	blt x8, x15, .+0
blt	64	0107c163	15,16,2	blt x15, x16, .+2
blt	64	01784263	16,23,4	blt x16, x23, .+4
blt	64	007bc0e3	23,7,2048	blt x23, x7, .+2048
blt	64	7e03cfe3	7,0,4094	blt x7, x0, .+4094
blt	64	81f040e3	0,31,-2048	blt x0, x31, .-2048
bge	64	801fd063	31,1,-4096	bge x31, x1, .-4096
bge	64	fe80dfe3	1,8,-2	bge x1, x8, .-2
bge	64	00f45063	8,15,0	bge x8, x15, .+0
bge	64	0107d163	15,16,2	bge x15, x16, .+2
bge	64	01785263	16,23,4	bge x16, x23, .+4
bge	64	007bd0e3	23,7,2048	bge x23, x7, .+2048
bge	64	7e03dfe3	7,0,4094	bge x7, x0, .+4094
bge	64	81f050e3	0,31,-2048	bge x0, x31, .-2048
bltu	64	801fe063	31,1,-4096	bltu x31, x1, .-4096
bltu	64	fe80efe3	1,8,-2	bltu x1, x8, .-2
bltu	64	00f46063	8,15,0	bltu x8, x15, .+0
bltu	64	0107e163	15,16,2	bltu x15, x16, .+2
bltu	64	01786263	16,23,4	bltu x16, x23, .+4
bltu	64	007be0e3	23,7,2048	bltu x23, x7, .+2048
bltu	64	7e03efe3	7,0,4094	bltu x7, x0, .+4094
bltu	64	81f060e3	0,31,-2048	bltu x0, x31, .-2048
bgeu	64	801ff063	31,1,-4096	bgeu x31, x1, .-4096
bgeu	64	fe80ffe3	1,8,-2	bgeu x1, x8, .-2
bgeu	64	00f47063	8,15,0	bgeu x8, x15, .+0
bgeu	64	0107f163	15,16,2	bgeu x15, x16, .+2
bgeu	64	01787263	16,23,4	bgeu x16, x23, .+4
bgeu	64	007bf0e3	23,7,2048	bgeu x23, x7, .+2048
bgeu	64	7e03ffe3	7,0,4094	bgeu x7, x0, .+4094
bgeu	64	81f070e3	0,31,-2048	bgeu x0, x31, .-2048
lb	64	800f8003	0,31,-2048	lb x0, -2048(x31)
lb	64	fff08f83	31,1,-1	lb x31, -1(x1)
lb	64	00040083	1,8,0	lb x1, 0(x8)
lb	64	00178403	8,15,1	lb x8, 1(x15)
lb	64	01f80783	15,16,31	lb x15, 31(x16)
lb	64	7ffb8803	16,23,2047	lb x16, 2047(x23)
lb	64	ff038b83	23,7,-16	lb x23, -16(x7)
lb	64	40000383	7,0,1024	lb x7, 1024(x0)
lh	64	800f9003	0,31,-2048	lh x0, -2048(x31)
lh	64	fff09f83	31,1,-1	lh x31, -1(x1)
lh	64	00041083	1,8,0	lh x1, 0(x8)
lh	64	00179403	8,15,1	lh x8, 1(x15)
lh	64	01f81783	15,16,31	lh x15, 31(x16)
lh	64	7ffb9803	16,23,2047	lh x16, 2047(x23)
lh	64	ff039b83	23,7,-16	lh x23, -16(x7)
lh	64	40001383	7,0,1024	lh x7, 1024(x0)
lw	64	800fa003	0,31,-2048	lw x0, -2048(x31)
lw	64	fff0af83	31,1,-1	lw x31, -1(x1)
lw	64	00042083	1,8,0	lw x1, 0(x8)
lw	64	0017a403	8,15,1	lw x8, 1(x15)
lw	64	01f82783	15,16,31	lw x15, 31(x16)
lw	64	7ffba803	16,23,2047	lw x16, 2047(x23)
lw	64	ff03ab83	23,7,-16	lw x23, -16(x7)
lw	64	40002383	7,0,1024	lw x7, 1024(x0)
lbu	64	800fc003	0,31,-2048	lbu x0, -2048(x31)
lbu	64	fff0cf83	31,1,-1	lbu x31, -1(x1)
lbu	64	00044083	1,8,0	lbu x1, 0(x8)
lbu	64	0017c403	8,15,1	lbu x8, 1(x15)
lbu	64	01f84783	15,16,31	lbu x15, 31(x16)
lbu	64	7ffbc803	16,23,2047	lbu x16, 2047(x23)
lbu	64	ff03cb83	23,7,-16	lbu x23, -16(x7)
lbu	64	40004383	7,0,1024	lbu x7, 1024(x0)
lhu	64	800fd003	0,31,-2048	lhu x0, -2048(x31)
lhu	64	fff0df83	31,1,-1	lhu x31, -1(x1)
lhu	64	00045083	1,8,0	lhu x1, 0(x8)
lhu	64	0017d403	8,15,1	lhu x8, 1(x15)
lhu	64	01f85783	15,16,31	lhu x15, 31(x16)
lhu	64	7ffbd803	16,23,2047	lhu x16, 2047(x23)
lhu	64	ff03db83	23,7,-16	lhu x23, -16(x7)
lhu	64	40005383	7,0,1024	lhu x7, 1024(x0)
sb	64	801f8023	31,1,-2048	sb x1, -2048(x31)
sb	64	fe808fa3	1,8,-1	sb x8, -1(x1)
sb	64	00f40023	8,15,0	sb x15, 0(x8)
sb	64	010780a3	15,16,1	sb x16, 1(x15)
sb	64	01780fa3	16,23,31	sb x23, 31(x16)
sb	64	7e7b8fa3	23,7,2047	sb x7, 2047(x23)
sb	64	fe038823	7,0,-16	sb x0, -16(x7)
sb	64	41f00023	0,31,1024	sb x31, 1024(x0)
sh	64	801f9023	31,1,-2048	sh x1, -2048(x31)
sh	64	fe809fa3	1,8,-1	sh x8, -1(x1)
sh	64	00f41023	8,15,0	sh x15, 0(x8)
sh	64	010790a3	15,16,1	sh x16, 1(x15)
sh	64	01781fa3	16,23,31	sh x23, 31(x16)
sh	64	7e7b9fa3	23,7,2047	sh x7, 2047(x23)
sh	64	fe039823	7,0,-16	sh x0, -16(x7)
sh	64	41f01023	0,31,1024	sh x31, 1024(x0)
sw	64	801fa023	31,1,-2048	sw x1, -2048(x31)
sw	64	fe80afa3	1,8,-1	sw x8, -1(x1)
sw	64	00f42023	8,15,0	sw x15, 0(x8)
sw	64	0107a0a3	15,16,1	sw x16, 1(x15)
sw	64	01782fa3	16,23,31	sw x23, 31(x16)
sw	64	7e7bafa3	23,7,2047	sw x7, 2047(x23)
sw	64	fe03a823	7,0,-16	sw x0, -16(x7)
sw	64	41f02023	0,31,1024	sw x31, 1024(x0)
addi	64	800f8013	0,31,-2048	addi x0, x31, -2048
addi	64	fff08f93	31,1,-1	addi x31, x1, -1
addi	64	00040093	1,8,0	addi x1, x8, 0
addi	64	00178413	8,15,1	addi x8, x15, 1
addi	64	01f80793	15,16,31	addi x15, x16, 31
addi	64	7ffb8813	16,23,2047	addi x16, x23, 2047
addi	64	ff038b93	23,7,-16	addi x23, x7, -16
addi	64	40000393	7,0,1024	addi x7, x0, 1024
slti	64	800fa013	0,31,-2048	slti x0, x31, -2048
slti	64	fff0af93	31,1,-1	slti x31, x1, -1
slti	64	00042093	1,8,0	slti x1, x8, 0
slti	64	0017a413	8,15,1	slti x8, x15, 1
slti	64	01f82793	15,16,31	slti x15, x16, 31
slti	64	7ffba813	16,23,2047	slti x16, x23, 2047
slti	64	ff03ab93	23,7,-16	slti x23, x7, -16
slti	64	40002393	7,0,1024	slti x7, x0, 1024
sltiu	64	800fb013	0,31,-2048	sltiu x0, x31, -2048
sltiu	64	fff0bf93	31,1,-1	sltiu x31, x1, -1
sltiu	64	00043093	1,8,0	sltiu x1, x8, 0
sltiu	64	0017b413	8,15,1	sltiu x8, x15, 1
sltiu	64	01f83793	15,16,31	sltiu x15, x16, 31
sltiu	64	7ffbb813	16,23,2047	sltiu x16, x23, 2047
sltiu	64	ff03bb93	23,7,-16	sltiu x23, x7, -16
sltiu	64	40003393	7,0,1024	sltiu x7, x0, 1024
xori	64	800fc013	0,31,-2048	xori x0, x31, -2048
xori	64	fff0cf93	31,1,-1	xori x31, x1, -1
xori	64	00044093	1,8,0	xori x1, x8, 0
xori	64	0017c413	8,15,1	xori x8, x15, 1
xori	64	01f84793	15,16,31	xori x15, x16, 31
xori	64	7ffbc813	16,23,2047	xori x16, x23, 2047
xori	64	ff03cb93	23,7,-16	xori x23, x7, -16
xori	64	40004393	7,0,1024	xori x7, x0, 1024
ori	64	800fe013	0,31,-2048	ori x0, x31, -2048
ori	64	fff0ef93	31,1,-1	ori x31, x1, -1
ori	64	00046093	1,8,0	ori x1, x8, 0
ori	64	0017e413	8,15,1	ori x8, x15, 1
ori	64	01f86793	15,16,31	ori x15, x16, 31
ori	64	7ffbe813	16,23,2047	ori x16, x23, 2047
ori	64	ff03eb93	23,7,-16	ori x23, x7, -16
ori	64	40006393	7,0,1024	ori x7, x0, 1024
andi	64	800ff013	0,31,-2048	andi x0, x31, -2048
andi	64	fff0ff93	31,1,-1	andi x31, x1, -1
andi	64	00047093	1,8,0	andi x1, x8, 0
andi	64	0017f413	8,15,1	andi x8, x15, 1
andi	64	01f87793	15,16,31	andi x15, x16, 31
andi	64	7ffbf813	16,23,2047	andi x16, x23, 2047
andi	64	ff03fb93	23,7,-16	andi x23, x7, -16
andi	64	40007393	7,0,1024	andi x7, x0, 1024
slli	64	000f9013	0,31,0	slli x0, x31, 0
slli	64	00109f93	31,1,1	slli x31, x1, 1
slli	64	00241093	1,8,2	slli x1, x8, 2
slli	64	01f79413	8,15,31	slli x8, x15, 31
slli	64	02081793	15,16,32	slli x15, x16, 32
slli	64	03eb9813	16,23,62	slli x16, x23, 62
slli	64	03f39b93	23,7,63	slli x23, x7, 63
slli	64	01001393	7,0,16	slli x7, x0, 16
srli	64	000fd013	0,31,0	srli x0, x31, 0
srli	64	0010df93	31,1,1	srli x31, x1, 1
srli	64	00245093	1,8,2	srli x1, x8, 2
srli	64	01f7d413	8,15,31	srli x8, x15, 31
srli	64	02085793	15,16,32	srli x15, x16, 32
srli	64	03ebd813	16,23,62	srli x16, x23, 62
srli	64	03f3db93	23,7,63	srli x23, x7, 63
srli	64	01005393	7,0,16	srli x7, x0, 16
srai	64	400fd013	0,31,0	srai x0, x31, 0
srai	64	4010df93	31,1,1	srai x31, x1, 1
srai	64	40245093	1,8,2	srai x1, x8, 2
srai	64	41f7d413	8,15,31	srai x8, x15, 31
srai	64	42085793	15,16,32	srai x15, x16, 32
srai	64	43ebd813	16,23,62	srai x16, x23, 62
srai	64	43f3db93	23,7,63	srai x23, x7, 63
srai	64	41005393	7,0,16	srai x7, x0, 16
add	64	001f8033	0,31,1	add x0, x31, x1
add	64	00808fb3	31,1,8	add x31, x1, x8
add	64	00f400b3	1,8,15	add x1, x8, x15
add	64	01078433	8,15,16	add x8, x15, x16
add	64	017807b3	15,16,23	add x15, x16, x23
add	64	007b8833	16,23,7	add x16, x23, x7
add	64	00038bb3	23,7,0	add x23, x7, x0
add	64	01f003b3	7,0,31	add x7, x0, x31
sub	64	401f8033	0,31,1	sub x0, x31, x1
sub	64	40808fb3	31,1,8	sub x31, x1, x8
sub	64	40f400b3	1,8,15	sub x1, x8, x15
sub	64	41078433	8,15,16	sub x8, x15, x16
sub	64	417807b3	15,16,23	sub x15, x16, x23
sub	64	407b8833	16,23,7	sub x16, x23, x7
sub	64	40038bb3	23,7,0	sub x23, x7, x0
sub	64	41f003b3	7,0,31	sub x7, x0, x31
sll	64	001f9033	0,31,1	sll x0, x31, x1
sll	64	00809fb3	31,1,8	sll x31, x1, x8
sll	64	00f410b3	1,8,15	sll x1, x8, x15
sll	64	01079433	8,15,16	sll x8, x15, x16
sll	64	017817b3	15,16,23	sll x15, x16, x23
sll	64	007b9833	16,23,7	sll x16, x23, x7
sll	64	00039bb3	23,7,0	sll x23, x7, x0
sll	64	01f013b3	7,0,31	sll x7, x0, x31
slt	64	001fa033	0,31,1	slt x0, x31, x1
slt	64	0080afb3	31,1,8	slt x31, x1, x8
slt	64	00f420b3	1,8,15	slt x1, x8, x15
slt	64	0107a433	8,15,16	slt x8, x15, x16
slt	64	017827b3	15,16,23	slt x15, x16, x23
slt	64	007ba833	16,23,7	slt x16, x23, x7
slt	64	0003abb3	23,7,0	slt x23, x7, x0
slt	64	01f023b3	7,0,31	slt x7, x0, x31
sltu	64	001fb033	0,31,1	sltu x0, x31, x1
sltu	64	0080bfb3	31,1,8	sltu x31, x1, x8
sltu	64	00f430b3	1,8,15	sltu x1, x8, x15
sltu	64	0107b433	8,15,16	sltu x8, x15, x16
sltu	64	017837b3	15,16,23	sltu x15, x16, x23
sltu	64	007bb833	16,23,7	sltu x16, x23, x7
sltu	64	0003bbb3	23,7,0	sltu x23, x7, x0
sltu	64	01f033b3	7,0,31	sltu x7, x0, x31
xor	64	001fc033	0,31,1	xor x0, x31, x1
xor	64	0080cfb3	31,1,8	xor x31, x1, x8
xor	64	00f440b3	1,8,15	xor x1, x8, x15
xor	64	0107c433	8,15,16	xor x8, x15, x16
xor	64	017847b3	15,16,23	xor x15, x16, x23
xor	64	007bc833	16,23,7	xor x16, x23, x7
xor	64	0003cbb3	23,7,0	xor x23, x7, x0
xor	64	01f043b3	7,0,31	xor x7, x0, x31
srl	64	001fd033	0,31,1	srl x0, x31, x1
srl	64	0080dfb3	31,1,8	srl x31, x1, x8
srl	64	00f450b3	1,8,15	srl x1, x8, x15
srl	64	0107d433	8,15,16	srl x8, x15, x16
srl	64	017857b3	15,16,23	srl x15, x16, x23
srl	64	007bd833	16,23,7	srl x16, x23, x7
srl	64	0003dbb3	23,7,0	srl x23, x7, x0
srl	64	01f053b3	7,0,31	srl x7, x0, x31
sra	64	401fd033	0,31,1	sra x0, x31, x1
sra	64	4080dfb3	31,1,8	sra x31, x1, x8
sra	64	40f450b3	1,8,15	sra x1, x8, x15
sra	64	4107d433	8,15,16	sra x8, x15, x16
sra	64	417857b3	15,16,23	sra x15, x16, x23
sra	64	407bd833	16,23,7	sra x16, x23, x7
sra	64	4003dbb3	23,7,0	sra x23, x7, x0
sra	64	41f053b3	7,0,31	sra x7, x0, x31
